,run_1,run_2,run_3,run_4,run_5,run_6
Q1,40680.96752600013,11727.196675000414,11581.792379000035,10273.68049100005,10980.43355000027,10772.429525000007
Q2,1448.9966040000581,1331.2151659993106,1310.6220620002205,1316.9171979998282,1309.537578000345,1321.6179580003882
Q3,26448.53839499956,9819.33120299982,9328.053795000415,9467.231096999967,9728.612267999779,9966.060104000462
